countrycode,seriescode,year,description
IDN_Papua_Barat_ID.PB_73612_IDN036,SI.POV.NAHC,YR2008,Source: BPS
IDN_Papua_Barat_ID.PB_73612_IDN036,SI.POV.NAHC,YR2009,Source: BPS
IDN_Papua_Barat_ID.PB_73612_IDN036,SI.POV.NAHC,YR2010,Source: BPS
IDN_Papua_Barat_ID.PB_73612_IDN036,SI.POV.NAHC,YR2011,Source: BPS
IDN_Papua_Barat_ID.PB_73612_IDN036,SI.POV.NAHC,YR2012,Source: BPS
IDN_Papua_Barat_ID.PB_73612_IDN036,SI.POV.NAHC,YR2013,Source: BPS
IDN_Papua_Barat_ID.PB_73612_IDN036,SI.POV.RUHC,YR2002,Source: BPS
IDN_Papua_Barat_ID.PB_73612_IDN036,SI.POV.RUHC,YR2003,Source: BPS
IDN_Papua_Barat_ID.PB_73612_IDN036,SI.POV.RUHC,YR2004,Source: BPS
IDN_Papua_Barat_ID.PB_73612_IDN036,SI.POV.RUHC,YR2005,Source: BPS
IDN_Papua_Barat_ID.PB_73612_IDN036,SI.POV.RUHC,YR2006,Source: BPS
IDN_Papua_Barat_ID.PB_73612_IDN036,SI.POV.RUHC,YR2007,Source: BPS
IDN_Papua_Barat_ID.PB_73612_IDN036,SI.POV.RUHC,YR2008,Source: BPS
IDN_Papua_Barat_ID.PB_73612_IDN036,SI.POV.RUHC,YR2009,Source: BPS
IDN_Papua_Barat_ID.PB_73612_IDN036,SI.POV.RUHC,YR2010,Source: BPS
IDN_Papua_Barat_ID.PB_73612_IDN036,SI.POV.RUHC,YR2011,Source: BPS
IDN_Papua_Barat_ID.PB_73612_IDN036,SI.POV.RUHC,YR2012,Source: BPS
IDN_Papua_Barat_ID.PB_73612_IDN036,SI.POV.RUHC,YR2013,Source: BPS
IDN_Papua_Barat_ID.PB_73612_IDN036,SI.POV.URHC,YR2002,Source: BPS
IDN_Papua_Barat_ID.PB_73612_IDN036,SI.POV.URHC,YR2003,Source: BPS
IDN_Papua_Barat_ID.PB_73612_IDN036,SI.POV.URHC,YR2004,Source: BPS
IDN_Papua_Barat_ID.PB_73612_IDN036,SI.POV.URHC,YR2005,Source: BPS
IDN_Papua_Barat_ID.PB_73612_IDN036,SI.POV.URHC,YR2006,Source: BPS
IDN_Papua_Barat_ID.PB_73612_IDN036,SI.POV.URHC,YR2007,Source: BPS
IDN_Papua_Barat_ID.PB_73612_IDN036,SI.POV.URHC,YR2008,Source: BPS
IDN_Papua_Barat_ID.PB_73612_IDN036,SI.POV.URHC,YR2009,Source: BPS
IDN_Papua_Barat_ID.PB_73612_IDN036,SI.POV.URHC,YR2010,Source: BPS
IDN_Papua_Barat_ID.PB_73612_IDN036,SI.POV.URHC,YR2011,Source: BPS
IDN_Papua_Barat_ID.PB_73612_IDN036,SI.POV.URHC,YR2012,Source: BPS
IDN_Papua_Barat_ID.PB_73612_IDN036,SI.POV.URHC,YR2013,Source: BPS
IDN_Papua_ID.PA_73617_IDN030,SI.POV.NAHC,YR2002,Source: BPS
IDN_Papua_ID.PA_73617_IDN030,SI.POV.NAHC,YR2003,Source: BPS
IDN_Papua_ID.PA_73617_IDN030,SI.POV.NAHC,YR2004,Source: BPS
IDN_Papua_ID.PA_73617_IDN030,SI.POV.NAHC,YR2005,Source: BPS
IDN_Papua_ID.PA_73617_IDN030,SI.POV.NAHC,YR2006,Source: BPS
IDN_Papua_ID.PA_73617_IDN030,SI.POV.NAHC,YR2007,Source: BPS
IDN_Papua_ID.PA_73617_IDN030,SI.POV.NAHC,YR2008,Source: BPS
IDN_Papua_ID.PA_73617_IDN030,SI.POV.NAHC,YR2009,Source: BPS
IDN_Papua_ID.PA_73617_IDN030,SI.POV.NAHC,YR2010,Source: BPS
IDN_Papua_ID.PA_73617_IDN030,SI.POV.NAHC,YR2011,Source: BPS
IDN_Papua_ID.PA_73617_IDN030,SI.POV.NAHC,YR2012,Source: BPS
IDN_Papua_ID.PA_73617_IDN030,SI.POV.NAHC,YR2013,Source: BPS
IDN_Papua_ID.PA_73617_IDN030,SI.POV.RUHC,YR2002,Source: BPS
IDN_Papua_ID.PA_73617_IDN030,SI.POV.RUHC,YR2003,Source: BPS
IDN_Papua_ID.PA_73617_IDN030,SI.POV.RUHC,YR2004,Source: BPS
IDN_Papua_ID.PA_73617_IDN030,SI.POV.RUHC,YR2005,Source: BPS
IDN_Papua_ID.PA_73617_IDN030,SI.POV.RUHC,YR2006,Source: BPS
IDN_Papua_ID.PA_73617_IDN030,SI.POV.RUHC,YR2007,Source: BPS
IDN_Papua_ID.PA_73617_IDN030,SI.POV.RUHC,YR2008,Source: BPS
IDN_Papua_ID.PA_73617_IDN030,SI.POV.RUHC,YR2009,Source: BPS
IDN_Papua_ID.PA_73617_IDN030,SI.POV.RUHC,YR2010,Source: BPS
IDN_Papua_ID.PA_73617_IDN030,SI.POV.RUHC,YR2011,Source: BPS
IDN_Papua_ID.PA_73617_IDN030,SI.POV.RUHC,YR2012,Source: BPS
IDN_Papua_ID.PA_73617_IDN030,SI.POV.RUHC,YR2013,Source: BPS
IDN_Papua_ID.PA_73617_IDN030,SI.POV.URHC,YR2002,Source: BPS
IDN_Papua_ID.PA_73617_IDN030,SI.POV.URHC,YR2003,Source: BPS
IDN_Papua_ID.PA_73617_IDN030,SI.POV.URHC,YR2004,Source: BPS
IDN_Papua_ID.PA_73617_IDN030,SI.POV.URHC,YR2005,Source: BPS
IDN_Papua_ID.PA_73617_IDN030,SI.POV.URHC,YR2006,Source: BPS
IDN_Papua_ID.PA_73617_IDN030,SI.POV.URHC,YR2007,Source: BPS
IDN_Papua_ID.PA_73617_IDN030,SI.POV.URHC,YR2008,Source: BPS
IDN_Papua_ID.PA_73617_IDN030,SI.POV.URHC,YR2009,Source: BPS
IDN_Papua_ID.PA_73617_IDN030,SI.POV.URHC,YR2010,Source: BPS
IDN_Papua_ID.PA_73617_IDN030,SI.POV.URHC,YR2011,Source: BPS
IDN_Papua_ID.PA_73617_IDN030,SI.POV.URHC,YR2012,Source: BPS
IDN_Papua_ID.PA_73617_IDN030,SI.POV.URHC,YR2013,Source: BPS
IDN_Riau_ID.RI_73618_IDN037,SI.POV.NAHC,YR2002,Source: BPS
IDN_Riau_ID.RI_73618_IDN037,SI.POV.NAHC,YR2003,Source: BPS
IDN_Riau_ID.RI_73618_IDN037,SI.POV.NAHC,YR2004,Source: BPS
IDN_Riau_ID.RI_73618_IDN037,SI.POV.NAHC,YR2005,Source: BPS
IDN_Riau_ID.RI_73618_IDN037,SI.POV.NAHC,YR2006,Source: BPS
IDN_Riau_ID.RI_73618_IDN037,SI.POV.NAHC,YR2007,Source: BPS
IDN_Riau_ID.RI_73618_IDN037,SI.POV.NAHC,YR2008,Source: BPS
IDN_Riau_ID.RI_73618_IDN037,SI.POV.NAHC,YR2009,Source: BPS
IDN_Riau_ID.RI_73618_IDN037,SI.POV.NAHC,YR2010,Source: BPS
IDN_Riau_ID.RI_73618_IDN037,SI.POV.NAHC,YR2011,Source: BPS
IDN_Riau_ID.RI_73618_IDN037,SI.POV.NAHC,YR2012,Source: BPS
IDN_Riau_ID.RI_73618_IDN037,SI.POV.NAHC,YR2013,Source: BPS
IDN_Riau_ID.RI_73618_IDN037,SI.POV.RUHC,YR2002,Source: BPS
IDN_Riau_ID.RI_73618_IDN037,SI.POV.RUHC,YR2003,Source: BPS
IDN_Riau_ID.RI_73618_IDN037,SI.POV.RUHC,YR2004,Source: BPS
IDN_Riau_ID.RI_73618_IDN037,SI.POV.RUHC,YR2005,Source: BPS
IDN_Riau_ID.RI_73618_IDN037,SI.POV.RUHC,YR2006,Source: BPS
IDN_Riau_ID.RI_73618_IDN037,SI.POV.RUHC,YR2007,Source: BPS
IDN_Riau_ID.RI_73618_IDN037,SI.POV.RUHC,YR2008,Source: BPS
IDN_Riau_ID.RI_73618_IDN037,SI.POV.RUHC,YR2009,Source: BPS
IDN_Riau_ID.RI_73618_IDN037,SI.POV.RUHC,YR2010,Source: BPS
IDN_Riau_ID.RI_73618_IDN037,SI.POV.RUHC,YR2011,Source: BPS
IDN_Riau_ID.RI_73618_IDN037,SI.POV.RUHC,YR2012,Source: BPS
IDN_Riau_ID.RI_73618_IDN037,SI.POV.RUHC,YR2013,Source: BPS
IDN_Riau_ID.RI_73618_IDN037,SI.POV.URHC,YR2002,Source: BPS
IDN_Riau_ID.RI_73618_IDN037,SI.POV.URHC,YR2003,Source: BPS
IDN_Riau_ID.RI_73618_IDN037,SI.POV.URHC,YR2004,Source: BPS
IDN_Riau_ID.RI_73618_IDN037,SI.POV.URHC,YR2005,Source: BPS
IDN_Riau_ID.RI_73618_IDN037,SI.POV.URHC,YR2006,Source: BPS
IDN_Riau_ID.RI_73618_IDN037,SI.POV.URHC,YR2007,Source: BPS
IDN_Riau_ID.RI_73618_IDN037,SI.POV.URHC,YR2008,Source: BPS
IDN_Riau_ID.RI_73618_IDN037,SI.POV.URHC,YR2009,Source: BPS
IDN_Riau_ID.RI_73618_IDN037,SI.POV.URHC,YR2010,Source: BPS
IDN_Riau_ID.RI_73618_IDN037,SI.POV.URHC,YR2011,Source: BPS
IDN_Riau_ID.RI_73618_IDN037,SI.POV.URHC,YR2012,Source: BPS
IDN_Riau_ID.RI_73618_IDN037,SI.POV.URHC,YR2013,Source: BPS
IDN_Sulawesi_Barat_ID.SB_73619_IDN038,SI.POV.NAHC,YR2002,Source: BPS
IDN_Sulawesi_Barat_ID.SB_73619_IDN038,SI.POV.NAHC,YR2003,Source: BPS
IDN_Sulawesi_Barat_ID.SB_73619_IDN038,SI.POV.NAHC,YR2004,Source: BPS
IDN_Sulawesi_Barat_ID.SB_73619_IDN038,SI.POV.NAHC,YR2005,Source: BPS
IDN_Sulawesi_Barat_ID.SB_73619_IDN038,SI.POV.NAHC,YR2006,Source: BPS
IDN_Sulawesi_Barat_ID.SB_73619_IDN038,SI.POV.NAHC,YR2007,Source: BPS
IDN_Sulawesi_Barat_ID.SB_73619_IDN038,SI.POV.NAHC,YR2008,Source: BPS
IDN_Sulawesi_Barat_ID.SB_73619_IDN038,SI.POV.NAHC,YR2009,Source: BPS
IDN_Sulawesi_Barat_ID.SB_73619_IDN038,SI.POV.NAHC,YR2010,Source: BPS
IDN_Sulawesi_Barat_ID.SB_73619_IDN038,SI.POV.NAHC,YR2011,Source: BPS
IDN_Sulawesi_Barat_ID.SB_73619_IDN038,SI.POV.NAHC,YR2012,Source: BPS
IDN_Sulawesi_Barat_ID.SB_73619_IDN038,SI.POV.NAHC,YR2013,Source: BPS
IDN_Sulawesi_Barat_ID.SB_73619_IDN038,SI.POV.RUHC,YR2002,Source: BPS
IDN_Sulawesi_Barat_ID.SB_73619_IDN038,SI.POV.RUHC,YR2003,Source: BPS
IDN_Sulawesi_Barat_ID.SB_73619_IDN038,SI.POV.RUHC,YR2004,Source: BPS
IDN_Sulawesi_Barat_ID.SB_73619_IDN038,SI.POV.RUHC,YR2005,Source: BPS
IDN_Sulawesi_Barat_ID.SB_73619_IDN038,SI.POV.RUHC,YR2006,Source: BPS
IDN_Sulawesi_Barat_ID.SB_73619_IDN038,SI.POV.RUHC,YR2007,Source: BPS
IDN_Sulawesi_Barat_ID.SB_73619_IDN038,SI.POV.RUHC,YR2008,Source: BPS
IDN_Sulawesi_Barat_ID.SB_73619_IDN038,SI.POV.RUHC,YR2009,Source: BPS
IDN_Sulawesi_Barat_ID.SB_73619_IDN038,SI.POV.RUHC,YR2010,Source: BPS
IDN_Sulawesi_Barat_ID.SB_73619_IDN038,SI.POV.RUHC,YR2011,Source: BPS
IDN_Sulawesi_Barat_ID.SB_73619_IDN038,SI.POV.RUHC,YR2012,Source: BPS
IDN_Sulawesi_Barat_ID.SB_73619_IDN038,SI.POV.RUHC,YR2013,Source: BPS
IDN_Sulawesi_Barat_ID.SB_73619_IDN038,SI.POV.URHC,YR2002,Source: BPS
IDN_Sulawesi_Barat_ID.SB_73619_IDN038,SI.POV.URHC,YR2003,Source: BPS
IDN_Sulawesi_Barat_ID.SB_73619_IDN038,SI.POV.URHC,YR2004,Source: BPS
IDN_Sulawesi_Barat_ID.SB_73619_IDN038,SI.POV.URHC,YR2005,Source: BPS
IDN_Sulawesi_Barat_ID.SB_73619_IDN038,SI.POV.URHC,YR2006,Source: BPS
IDN_Sulawesi_Barat_ID.SB_73619_IDN038,SI.POV.URHC,YR2007,Source: BPS
IDN_Sulawesi_Barat_ID.SB_73619_IDN038,SI.POV.URHC,YR2008,Source: BPS
IDN_Sulawesi_Barat_ID.SB_73619_IDN038,SI.POV.URHC,YR2009,Source: BPS
IDN_Sulawesi_Barat_ID.SB_73619_IDN038,SI.POV.URHC,YR2010,Source: BPS
IDN_Sulawesi_Barat_ID.SB_73619_IDN038,SI.POV.URHC,YR2011,Source: BPS
IDN_Sulawesi_Barat_ID.SB_73619_IDN038,SI.POV.URHC,YR2012,Source: BPS
IDN_Sulawesi_Barat_ID.SB_73619_IDN038,SI.POV.URHC,YR2013,Source: BPS
IDN_Sulawesi_Selatan_ID.SS_73620_IDN021,SI.POV.NAHC,YR2002,Source: BPS
IDN_Sulawesi_Selatan_ID.SS_73620_IDN021,SI.POV.NAHC,YR2003,Source: BPS
IDN_Sulawesi_Selatan_ID.SS_73620_IDN021,SI.POV.NAHC,YR2004,Source: BPS
IDN_Sulawesi_Selatan_ID.SS_73620_IDN021,SI.POV.NAHC,YR2005,Source: BPS
IDN_Sulawesi_Selatan_ID.SS_73620_IDN021,SI.POV.NAHC,YR2006,Source: BPS
IDN_Sulawesi_Selatan_ID.SS_73620_IDN021,SI.POV.NAHC,YR2007,Source: BPS
IDN_Sulawesi_Selatan_ID.SS_73620_IDN021,SI.POV.NAHC,YR2008,Source: BPS
IDN_Sulawesi_Selatan_ID.SS_73620_IDN021,SI.POV.NAHC,YR2009,Source: BPS
IDN_Sulawesi_Selatan_ID.SS_73620_IDN021,SI.POV.NAHC,YR2010,Source: BPS
IDN_Sulawesi_Selatan_ID.SS_73620_IDN021,SI.POV.NAHC,YR2011,Source: BPS
IDN_Sulawesi_Selatan_ID.SS_73620_IDN021,SI.POV.NAHC,YR2012,Source: BPS
IDN_Sulawesi_Selatan_ID.SS_73620_IDN021,SI.POV.NAHC,YR2013,Source: BPS
IDN_Sulawesi_Selatan_ID.SS_73620_IDN021,SI.POV.RUHC,YR2002,Source: BPS
IDN_Sulawesi_Selatan_ID.SS_73620_IDN021,SI.POV.RUHC,YR2003,Source: BPS
IDN_Sulawesi_Selatan_ID.SS_73620_IDN021,SI.POV.RUHC,YR2004,Source: BPS
IDN_Sulawesi_Selatan_ID.SS_73620_IDN021,SI.POV.RUHC,YR2005,Source: BPS
IDN_Sulawesi_Selatan_ID.SS_73620_IDN021,SI.POV.RUHC,YR2006,Source: BPS
IDN_Sulawesi_Selatan_ID.SS_73620_IDN021,SI.POV.RUHC,YR2007,Source: BPS
IDN_Sulawesi_Selatan_ID.SS_73620_IDN021,SI.POV.RUHC,YR2008,Source: BPS
IDN_Sulawesi_Selatan_ID.SS_73620_IDN021,SI.POV.RUHC,YR2009,Source: BPS
IDN_Sulawesi_Selatan_ID.SS_73620_IDN021,SI.POV.RUHC,YR2010,Source: BPS
IDN_Sulawesi_Selatan_ID.SS_73620_IDN021,SI.POV.RUHC,YR2011,Source: BPS
IDN_Sulawesi_Selatan_ID.SS_73620_IDN021,SI.POV.RUHC,YR2012,Source: BPS
IDN_Sulawesi_Selatan_ID.SS_73620_IDN021,SI.POV.RUHC,YR2013,Source: BPS
IDN_Sulawesi_Selatan_ID.SS_73620_IDN021,SI.POV.URHC,YR2002,Source: BPS
IDN_Sulawesi_Selatan_ID.SS_73620_IDN021,SI.POV.URHC,YR2003,Source: BPS
IDN_Sulawesi_Selatan_ID.SS_73620_IDN021,SI.POV.URHC,YR2004,Source: BPS
IDN_Sulawesi_Selatan_ID.SS_73620_IDN021,SI.POV.URHC,YR2005,Source: BPS
IDN_Sulawesi_Selatan_ID.SS_73620_IDN021,SI.POV.URHC,YR2006,Source: BPS
IDN_Sulawesi_Selatan_ID.SS_73620_IDN021,SI.POV.URHC,YR2007,Source: BPS
IDN_Sulawesi_Selatan_ID.SS_73620_IDN021,SI.POV.URHC,YR2008,Source: BPS
IDN_Sulawesi_Selatan_ID.SS_73620_IDN021,SI.POV.URHC,YR2009,Source: BPS
IDN_Sulawesi_Selatan_ID.SS_73620_IDN021,SI.POV.URHC,YR2010,Source: BPS
IDN_Sulawesi_Selatan_ID.SS_73620_IDN021,SI.POV.URHC,YR2011,Source: BPS
IDN_Sulawesi_Selatan_ID.SS_73620_IDN021,SI.POV.URHC,YR2012,Source: BPS
IDN_Sulawesi_Selatan_ID.SS_73620_IDN021,SI.POV.URHC,YR2013,Source: BPS
IDN_Sulawesi_Tengah_ID.ST_1532_IDN023,SI.POV.NAHC,YR2002,Source: BPS
IDN_Sulawesi_Tengah_ID.ST_1532_IDN023,SI.POV.NAHC,YR2003,Source: BPS
IDN_Sulawesi_Tengah_ID.ST_1532_IDN023,SI.POV.NAHC,YR2004,Source: BPS
IDN_Sulawesi_Tengah_ID.ST_1532_IDN023,SI.POV.NAHC,YR2005,Source: BPS
IDN_Sulawesi_Tengah_ID.ST_1532_IDN023,SI.POV.NAHC,YR2006,Source: BPS
IDN_Sulawesi_Tengah_ID.ST_1532_IDN023,SI.POV.NAHC,YR2007,Source: BPS
IDN_Sulawesi_Tengah_ID.ST_1532_IDN023,SI.POV.NAHC,YR2008,Source: BPS
IDN_Sulawesi_Tengah_ID.ST_1532_IDN023,SI.POV.NAHC,YR2009,Source: BPS
IDN_Sulawesi_Tengah_ID.ST_1532_IDN023,SI.POV.NAHC,YR2010,Source: BPS
IDN_Sulawesi_Tengah_ID.ST_1532_IDN023,SI.POV.NAHC,YR2011,Source: BPS
IDN_Sulawesi_Tengah_ID.ST_1532_IDN023,SI.POV.NAHC,YR2012,Source: BPS
IDN_Sulawesi_Tengah_ID.ST_1532_IDN023,SI.POV.NAHC,YR2013,Source: BPS
IDN_Sulawesi_Tengah_ID.ST_1532_IDN023,SI.POV.RUHC,YR2002,Source: BPS
IDN_Sulawesi_Tengah_ID.ST_1532_IDN023,SI.POV.RUHC,YR2003,Source: BPS
IDN_Sulawesi_Tengah_ID.ST_1532_IDN023,SI.POV.RUHC,YR2004,Source: BPS
IDN_Sulawesi_Tengah_ID.ST_1532_IDN023,SI.POV.RUHC,YR2005,Source: BPS
IDN_Sulawesi_Tengah_ID.ST_1532_IDN023,SI.POV.RUHC,YR2006,Source: BPS
IDN_Sulawesi_Tengah_ID.ST_1532_IDN023,SI.POV.RUHC,YR2007,Source: BPS
IDN_Sulawesi_Tengah_ID.ST_1532_IDN023,SI.POV.RUHC,YR2008,Source: BPS
IDN_Sulawesi_Tengah_ID.ST_1532_IDN023,SI.POV.RUHC,YR2009,Source: BPS
IDN_Sulawesi_Tengah_ID.ST_1532_IDN023,SI.POV.RUHC,YR2010,Source: BPS
IDN_Sulawesi_Tengah_ID.ST_1532_IDN023,SI.POV.RUHC,YR2011,Source: BPS
IDN_Sulawesi_Tengah_ID.ST_1532_IDN023,SI.POV.RUHC,YR2012,Source: BPS
IDN_Sulawesi_Tengah_ID.ST_1532_IDN023,SI.POV.RUHC,YR2013,Source: BPS
IDN_Sulawesi_Tengah_ID.ST_1532_IDN023,SI.POV.URHC,YR2002,Source: BPS
IDN_Sulawesi_Tengah_ID.ST_1532_IDN023,SI.POV.URHC,YR2003,Source: BPS
IDN_Sulawesi_Tengah_ID.ST_1532_IDN023,SI.POV.URHC,YR2004,Source: BPS
IDN_Sulawesi_Tengah_ID.ST_1532_IDN023,SI.POV.URHC,YR2005,Source: BPS
IDN_Sulawesi_Tengah_ID.ST_1532_IDN023,SI.POV.URHC,YR2006,Source: BPS
IDN_Sulawesi_Tengah_ID.ST_1532_IDN023,SI.POV.URHC,YR2007,Source: BPS
IDN_Sulawesi_Tengah_ID.ST_1532_IDN023,SI.POV.URHC,YR2008,Source: BPS
IDN_Sulawesi_Tengah_ID.ST_1532_IDN023,SI.POV.URHC,YR2009,Source: BPS
IDN_Sulawesi_Tengah_ID.ST_1532_IDN023,SI.POV.URHC,YR2010,Source: BPS
IDN_Sulawesi_Tengah_ID.ST_1532_IDN023,SI.POV.URHC,YR2011,Source: BPS
IDN_Sulawesi_Tengah_ID.ST_1532_IDN023,SI.POV.URHC,YR2012,Source: BPS
IDN_Sulawesi_Tengah_ID.ST_1532_IDN023,SI.POV.URHC,YR2013,Source: BPS
IDN_Sulawesi_Tenggara_ID.TE_1533_IDN029,SI.POV.NAHC,YR2002,Source: BPS
IDN_Sulawesi_Tenggara_ID.TE_1533_IDN029,SI.POV.NAHC,YR2003,Source: BPS
IDN_Sulawesi_Tenggara_ID.TE_1533_IDN029,SI.POV.NAHC,YR2004,Source: BPS
IDN_Sulawesi_Tenggara_ID.TE_1533_IDN029,SI.POV.NAHC,YR2005,Source: BPS
IDN_Sulawesi_Tenggara_ID.TE_1533_IDN029,SI.POV.NAHC,YR2006,Source: BPS
IDN_Sulawesi_Tenggara_ID.TE_1533_IDN029,SI.POV.NAHC,YR2007,Source: BPS
IDN_Sulawesi_Tenggara_ID.TE_1533_IDN029,SI.POV.NAHC,YR2008,Source: BPS
IDN_Sulawesi_Tenggara_ID.TE_1533_IDN029,SI.POV.NAHC,YR2009,Source: BPS
IDN_Sulawesi_Tenggara_ID.TE_1533_IDN029,SI.POV.NAHC,YR2010,Source: BPS
IDN_Sulawesi_Tenggara_ID.TE_1533_IDN029,SI.POV.NAHC,YR2011,Source: BPS
IDN_Sulawesi_Tenggara_ID.TE_1533_IDN029,SI.POV.NAHC,YR2012,Source: BPS
IDN_Sulawesi_Tenggara_ID.TE_1533_IDN029,SI.POV.NAHC,YR2013,Source: BPS
IDN_Sulawesi_Tenggara_ID.TE_1533_IDN029,SI.POV.RUHC,YR2002,Source: BPS
IDN_Sulawesi_Tenggara_ID.TE_1533_IDN029,SI.POV.RUHC,YR2003,Source: BPS
IDN_Sulawesi_Tenggara_ID.TE_1533_IDN029,SI.POV.RUHC,YR2004,Source: BPS
IDN_Sulawesi_Tenggara_ID.TE_1533_IDN029,SI.POV.RUHC,YR2005,Source: BPS
IDN_Sulawesi_Tenggara_ID.TE_1533_IDN029,SI.POV.RUHC,YR2006,Source: BPS
IDN_Sulawesi_Tenggara_ID.TE_1533_IDN029,SI.POV.RUHC,YR2007,Source: BPS
IDN_Sulawesi_Tenggara_ID.TE_1533_IDN029,SI.POV.RUHC,YR2008,Source: BPS
IDN_Sulawesi_Tenggara_ID.TE_1533_IDN029,SI.POV.RUHC,YR2009,Source: BPS
IDN_Sulawesi_Tenggara_ID.TE_1533_IDN029,SI.POV.RUHC,YR2010,Source: BPS
IDN_Sulawesi_Tenggara_ID.TE_1533_IDN029,SI.POV.RUHC,YR2011,Source: BPS
IDN_Sulawesi_Tenggara_ID.TE_1533_IDN029,SI.POV.RUHC,YR2012,Source: BPS
IDN_Sulawesi_Tenggara_ID.TE_1533_IDN029,SI.POV.RUHC,YR2013,Source: BPS
IDN_Sulawesi_Tenggara_ID.TE_1533_IDN029,SI.POV.URHC,YR2002,Source: BPS
IDN_Sulawesi_Tenggara_ID.TE_1533_IDN029,SI.POV.URHC,YR2003,Source: BPS
IDN_Sulawesi_Tenggara_ID.TE_1533_IDN029,SI.POV.URHC,YR2004,Source: BPS
IDN_Sulawesi_Tenggara_ID.TE_1533_IDN029,SI.POV.URHC,YR2005,Source: BPS
IDN_Sulawesi_Tenggara_ID.TE_1533_IDN029,SI.POV.URHC,YR2006,Source: BPS
IDN_Sulawesi_Tenggara_ID.TE_1533_IDN029,SI.POV.URHC,YR2007,Source: BPS
IDN_Sulawesi_Tenggara_ID.TE_1533_IDN029,SI.POV.URHC,YR2008,Source: BPS
IDN_Sulawesi_Tenggara_ID.TE_1533_IDN029,SI.POV.URHC,YR2009,Source: BPS
IDN_Sulawesi_Tenggara_ID.TE_1533_IDN029,SI.POV.URHC,YR2010,Source: BPS
IDN_Sulawesi_Tenggara_ID.TE_1533_IDN029,SI.POV.URHC,YR2011,Source: BPS
IDN_Sulawesi_Tenggara_ID.TE_1533_IDN029,SI.POV.URHC,YR2012,Source: BPS
IDN_Sulawesi_Tenggara_ID.TE_1533_IDN029,SI.POV.URHC,YR2013,Source: BPS
IDN_Sulawesi_Utara_ID.SU_73621_IDN024,SI.POV.NAHC,YR2002,Source: BPS
IDN_Sulawesi_Utara_ID.SU_73621_IDN024,SI.POV.NAHC,YR2003,Source: BPS
IDN_Sulawesi_Utara_ID.SU_73621_IDN024,SI.POV.NAHC,YR2004,Source: BPS
IDN_Sulawesi_Utara_ID.SU_73621_IDN024,SI.POV.NAHC,YR2005,Source: BPS
IDN_Sulawesi_Utara_ID.SU_73621_IDN024,SI.POV.NAHC,YR2006,Source: BPS
IDN_Sulawesi_Utara_ID.SU_73621_IDN024,SI.POV.NAHC,YR2007,Source: BPS
IDN_Sulawesi_Utara_ID.SU_73621_IDN024,SI.POV.NAHC,YR2008,Source: BPS
IDN_Sulawesi_Utara_ID.SU_73621_IDN024,SI.POV.NAHC,YR2009,Source: BPS
IDN_Sulawesi_Utara_ID.SU_73621_IDN024,SI.POV.NAHC,YR2010,Source: BPS
IDN_Sulawesi_Utara_ID.SU_73621_IDN024,SI.POV.NAHC,YR2011,Source: BPS
IDN_Sulawesi_Utara_ID.SU_73621_IDN024,SI.POV.NAHC,YR2012,Source: BPS
IDN_Sulawesi_Utara_ID.SU_73621_IDN024,SI.POV.NAHC,YR2013,Source: BPS
IDN_Sulawesi_Utara_ID.SU_73621_IDN024,SI.POV.RUHC,YR2002,Source: BPS
IDN_Sulawesi_Utara_ID.SU_73621_IDN024,SI.POV.RUHC,YR2003,Source: BPS
IDN_Sulawesi_Utara_ID.SU_73621_IDN024,SI.POV.RUHC,YR2004,Source: BPS
IDN_Sulawesi_Utara_ID.SU_73621_IDN024,SI.POV.RUHC,YR2005,Source: BPS
IDN_Sulawesi_Utara_ID.SU_73621_IDN024,SI.POV.RUHC,YR2006,Source: BPS
IDN_Sulawesi_Utara_ID.SU_73621_IDN024,SI.POV.RUHC,YR2007,Source: BPS
IDN_Sulawesi_Utara_ID.SU_73621_IDN024,SI.POV.RUHC,YR2008,Source: BPS
IDN_Sulawesi_Utara_ID.SU_73621_IDN024,SI.POV.RUHC,YR2009,Source: BPS
IDN_Sulawesi_Utara_ID.SU_73621_IDN024,SI.POV.RUHC,YR2010,Source: BPS
IDN_Sulawesi_Utara_ID.SU_73621_IDN024,SI.POV.RUHC,YR2011,Source: BPS
IDN_Sulawesi_Utara_ID.SU_73621_IDN024,SI.POV.RUHC,YR2012,Source: BPS
IDN_Sulawesi_Utara_ID.SU_73621_IDN024,SI.POV.RUHC,YR2013,Source: BPS
IDN_Sulawesi_Utara_ID.SU_73621_IDN024,SI.POV.URHC,YR2002,Source: BPS
IDN_Sulawesi_Utara_ID.SU_73621_IDN024,SI.POV.URHC,YR2003,Source: BPS
IDN_Sulawesi_Utara_ID.SU_73621_IDN024,SI.POV.URHC,YR2004,Source: BPS
IDN_Sulawesi_Utara_ID.SU_73621_IDN024,SI.POV.URHC,YR2005,Source: BPS
IDN_Sulawesi_Utara_ID.SU_73621_IDN024,SI.POV.URHC,YR2006,Source: BPS
IDN_Sulawesi_Utara_ID.SU_73621_IDN024,SI.POV.URHC,YR2007,Source: BPS
IDN_Sulawesi_Utara_ID.SU_73621_IDN024,SI.POV.URHC,YR2008,Source: BPS
IDN_Sulawesi_Utara_ID.SU_73621_IDN024,SI.POV.URHC,YR2009,Source: BPS
IDN_Sulawesi_Utara_ID.SU_73621_IDN024,SI.POV.URHC,YR2010,Source: BPS
